Time, Vsupply, ia, dca, current, tension, frequence
0.031, 15.92, 2.381, 0.06, 2.253, 0.645, 0
0.032, 15.92, 2.397, 0.06, 2.258, 0.656, 0
0.033, 15.92, 2.402, 0.06, 2.263, 0.667, 0
0.034, 15.92, 2.388, 0.06, 2.268, 0.678, 0
0.035, 15.92, 2.365, 0.06, 2.273, 0.69, 0
0.036, 15.92, 2.366, 0.06, 2.277, 0.7, 0
0.037, 15.92, 2.361, 0.06, 2.28, 0.708, 0
0.038, 15.92, 2.385, 0.06, 2.285, 0.719, 0
0.039, 15.92, 2.389, 0.06, 2.288, 0.727, 0
0.04, 15.92, 2.379, 0.06, 2.291, 0.734, 0
0.041, 15.92, 2.355, 0.06, 2.295, 0.744, 0
0.042, 15.92, 2.386, 0.06, 2.297, 0.751, 0
0.043, 15.92, 2.373, 0.06, 2.301, 0.758, 0
0.044, 15.92, 2.388, 0.06, 2.304, 0.765, 0
0.045, 15.92, 2.37, 0.06, 2.307, 0.772, 0
0.046, 15.92, 2.396, 0.06, 2.31, 0.779, 0
0.047, 15.92, 2.354, 0.06, 2.312, 0.786, 0
0.048, 15.92, 2.407, 0.06, 2.315, 0.792, 0
0.049, 15.92, 2.394, 0.06, 2.318, 0.798, 0
0.05, 15.92, 2.386, 0.06, 2.32, 0.804, 0
0.051, 15.92, 2.404, 0.06, 2.323, 0.81, 0
0.052, 15.92, 2.361, 0.06, 2.326, 0.815, 0
0.053, 15.92, 2.37, 0.06, 2.328, 0.82, 0
0.054, 15.92, 2.387, 0.06, 2.331, 0.827, 0
0.055, 15.92, 2.361, 0.06, 2.332, 0.83, 0
0.056, 15.92, 2.39, 0.06, 2.334, 0.834, 0
0.057, 15.92, 2.4, 0.06, 2.336, 0.839, 0
0.058, 15.92, 2.385, 0.06, 2.338, 0.844, 0
0.059, 15.92, 2.384, 0.06, 2.339, 0.847, 0
0.06, 15.92, 2.379, 0.06, 2.341, 0.851, 0
0.061, 15.92, 2.388, 0.06, 2.342, 0.854, 0
0.062, 15.92, 2.407, 0.06, 2.344, 0.858, 0
0.063, 15.92, 2.388, 0.06, 2.346, 0.861, 0
0.064, 15.92, 2.362, 0.06, 2.347, 0.865, 0
0.065, 15.92, 2.381, 0.06, 2.349, 0.868, 0
0.066, 15.92, 2.418, 0.06, 2.35, 0.871, 0
0.067, 15.92, 2.38, 0.06, 2.352, 0.874, 0
0.068, 15.92, 2.378, 0.06, 2.353, 0.877, 0
0.069, 15.92, 2.4, 0.06, 2.354, 0.88, 0
0.07, 15.92, 2.388, 0.06, 2.355, 0.882, 0
0.071, 15.92, 2.388, 0.06, 2.356, 0.885, 0
0.072, 15.92, 2.38, 0.06, 2.357, 0.887, 0
