Time, Vsupply, ia, dca, current, tension, frequence
0.011, 15.62, 1.465, 0.05, 0.436, 0.236, 0
0.012, 15.62, 1.476, 0.05, 0.478, 0.258, 0
0.013, 15.62, 1.449, 0.05, 0.514, 0.277, 0
0.014, 15.62, 1.444, 0.05, 0.551, 0.296, 0
0.015, 15.62, 1.451, 0.05, 0.587, 0.315, 0
0.016, 15.62, 1.49, 0.05, 0.62, 0.333, 0
0.018, 15.62, 1.495, 0.05, 0.653, 0.35, 0
0.018, 15.62, 1.462, 0.05, 0.701, 0.375, 0
0.02, 15.62, 1.48, 0.05, 0.723, 0.386, 0
0.021, 15.62, 1.461, 0.05, 0.771, 0.411, 0
0.021, 15.62, 1.458, 0.05, 0.784, 0.418, 0
0.022, 15.62, 1.479, 0.05, 0.799, 0.426, 0
0.023, 15.62, 1.479, 0.05, 0.824, 0.439, 0
0.024, 15.62, 1.487, 0.05, 0.847, 0.451, 0
0.025, 15.62, 1.476, 0.05, 0.876, 0.466, 0
0.026, 15.62, 1.493, 0.05, 0.899, 0.479, 0
0.027, 15.62, 1.465, 0.05, 0.915, 0.487, 0
0.028, 15.62, 1.475, 0.05, 0.937, 0.498, 0
0.029, 15.62, 1.442, 0.05, 0.958, 0.509, 0
0.03, 15.62, 1.442, 0.05, 0.979, 0.521, 0
0.031, 15.62, 1.441, 0.05, 0.996, 0.529, 0
0.032, 15.62, 1.482, 0.05, 1.013, 0.538, 0
0.033, 15.62, 1.465, 0.05, 1.031, 0.547, 0
0.034, 15.62, 1.489, 0.05, 1.048, 0.556, 0
0.035, 15.62, 1.488, 0.05, 1.063, 0.564, 0
0.036, 15.62, 1.478, 0.05, 1.082, 0.574, 0
0.037, 15.62, 1.458, 0.05, 1.097, 0.582, 0
0.038, 15.62, 1.472, 0.05, 1.109, 0.588, 0
0.039, 15.62, 1.436, 0.05, 1.122, 0.595, 0
0.04, 15.62, 1.48, 0.05, 1.136, 0.602, 0
0.041, 15.62, 1.473, 0.05, 1.148, 0.609, 0
0.042, 15.62, 1.452, 0.05, 1.161, 0.615, 0
0.043, 15.62, 1.453, 0.05, 1.173, 0.622, 0
0.044, 15.62, 1.472, 0.05, 1.185, 0.628, 0
0.045, 15.62, 1.472, 0.05, 1.185, 0.628, 0
0.046, 15.62, 1.475, 0.05, 1.206, 0.639, 0
0.047, 15.61, 1.479, 0.05, 1.216, 0.645, 0
0.048, 15.62, 1.487, 0.05, 1.227, 0.65, 0
0.049, 15.62, 1.499, 0.05, 1.236, 0.655, 0
0.05, 15.62, 1.477, 0.05, 1.245, 0.659, 0
0.051, 15.62, 1.465, 0.05, 1.252, 0.663, 0
0.052, 15.62, 1.457, 0.05, 1.261, 0.667, 0
0.053, 15.61, 1.484, 0.05, 1.269, 0.672, 0
0.054, 15.62, 1.48, 0.05, 1.277, 0.676, 0
0.055, 15.62, 1.487, 0.05, 1.284, 0.68, 0
0.056, 15.62, 1.467, 0.05, 1.292, 0.684, 0
0.057, 15.62, 1.462, 0.05, 1.299, 0.687, 0
0.058, 15.61, 1.479, 0.05, 1.305, 0.69, 0
0.059, 15.62, 1.448, 0.05, 1.312, 0.694, 0
0.06, 15.62, 1.467, 0.05, 1.318, 0.698, 0
0.061, 15.62, 1.464, 0.05, 1.324, 0.7, 0
0.062, 15.62, 1.479, 0.05, 1.33, 0.703, 0
0.063, 15.62, 1.448, 0.05, 1.336, 0.706, 0
0.064, 15.61, 1.482, 0.05, 1.341, 0.709, 0
0.065, 15.61, 1.436, 0.05, 1.346, 0.711, 0
0.066, 15.62, 1.491, 0.05, 1.35, 0.714, 0
0.067, 15.62, 1.448, 0.05, 1.355, 0.716, 0
0.068, 15.62, 1.485, 0.05, 1.359, 0.719, 0
0.069, 15.62, 1.481, 0.05, 1.364, 0.721, 0
0.07, 15.62, 1.474, 0.05, 1.368, 0.723, 0
0.071, 15.62, 1.48, 0.05, 1.372, 0.725, 0
0.072, 15.62, 1.471, 0.05, 1.375, 0.727, 0
0.073, 15.61, 1.453, 0.05, 1.379, 0.729, 0
0.074, 15.61, 1.453, 0.05, 1.379, 0.729, 0
0.075, 15.62, 1.502, 0.05, 1.386, 0.733, 0
0.076, 15.62, 1.47, 0.05, 1.39, 0.735, 0
0.077, 15.62, 1.478, 0.05, 1.393, 0.736, 0
0.078, 15.62, 1.477, 0.05, 1.396, 0.738, 0
0.079, 15.62, 1.489, 0.05, 1.398, 0.739, 0
0.08, 15.62, 1.465, 0.05, 1.402, 0.741, 0
0.081, 15.62, 1.475, 0.05, 1.404, 0.742, 0
0.082, 15.62, 1.427, 0.05, 1.407, 0.744, 0
0.083, 15.62, 1.489, 0.05, 1.409, 0.745, 0
0.084, 15.62, 1.458, 0.05, 1.411, 0.746, 0
0.085, 15.62, 1.454, 0.05, 1.414, 0.747, 0
0.086, 15.62, 1.467, 0.05, 1.416, 0.749, 0
0.087, 15.62, 1.466, 0.05, 1.418, 0.75, 0
0.088, 15.62, 1.445, 0.05, 1.42, 0.75, 0
0.089, 15.61, 1.481, 0.05, 1.422, 0.751, 0
0.09, 15.61, 1.505, 0.05, 1.424, 0.752, 0
0.091, 15.61, 1.505, 0.05, 1.424, 0.752, 0
0.092, 15.61, 1.484, 0.05, 1.428, 0.754, 0
0.093, 15.61, 1.46, 0.05, 1.429, 0.755, 0
0.094, 15.61, 1.471, 0.05, 1.431, 0.756, 0
0.095, 15.62, 1.499, 0.05, 1.432, 0.757, 0
0.096, 15.61, 1.464, 0.05, 1.434, 0.758, 0
0.097, 15.61, 1.471, 0.05, 1.436, 0.759, 0
0.098, 15.61, 1.46, 0.05, 1.437, 0.759, 0
0.099, 15.62, 1.469, 0.05, 1.438, 0.76, 0
0.1, 15.61, 1.44, 0.05, 1.439, 0.761, 0
0.111, 15.61, 1.5, 0.05, 1.45, 0.767, 0
0.112, 15.61, 1.494, 0.05, 1.451, 0.767, 0
0.113, 15.61, 1.464, 0.05, 1.451, 0.768, 0
0.114, 15.61, 1.465, 0.05, 1.452, 0.768, 0
0.115, 15.61, 1.468, 0.05, 1.453, 0.768, 0
0.116, 15.61, 1.449, 0.05, 1.454, 0.769, 0
0.117, 15.61, 1.476, 0.05, 1.454, 0.769, 0
0.118, 15.61, 1.469, 0.05, 1.455, 0.769, 0
0.119, 15.61, 1.475, 0.05, 1.455, 0.77, 0
0.12, 15.61, 1.465, 0.05, 1.456, 0.77, 0
0.121, 15.61, 1.466, 0.05, 1.456, 0.77, 0
0.122, 15.61, 1.437, 0.05, 1.457, 0.771, 0
0.123, 15.61, 1.47, 0.05, 1.457, 0.771, 0
0.124, 15.61, 1.466, 0.05, 1.458, 0.771, 0
0.125, 15.61, 1.473, 0.05, 1.458, 0.771, 0
0.126, 15.61, 1.468, 0.05, 1.459, 0.771, 0
0.127, 15.61, 1.479, 0.05, 1.459, 0.771, 0
0.128, 15.61, 1.477, 0.05, 1.459, 0.772, 0
0.129, 15.61, 1.487, 0.05, 1.46, 0.772, 0
0.13, 15.61, 1.487, 0.05, 1.46, 0.772, 0
0.131, 15.61, 1.479, 0.05, 1.461, 0.772, 0
0.132, 15.61, 1.488, 0.05, 1.461, 0.772, 0
0.133, 15.61, 1.437, 0.05, 1.462, 0.773, 0
0.134, 15.61, 1.489, 0.05, 1.462, 0.773, 0
0.135, 15.61, 1.447, 0.05, 1.462, 0.773, 0
0.136, 15.61, 1.466, 0.05, 1.462, 0.773, 0
0.137, 15.61, 1.504, 0.05, 1.463, 0.773, 0
0.138, 15.61, 1.464, 0.05, 1.463, 0.773, 0
0.139, 15.62, 1.509, 0.05, 1.464, 0.774, 0
0.14, 15.62, 1.478, 0.05, 1.464, 0.774, 0
0.141, 15.62, 1.471, 0.05, 1.464, 0.774, 0
0.142, 15.62, 1.483, 0.05, 1.464, 0.774, 0
0.143, 15.62, 1.463, 0.05, 1.465, 0.774, 0
0.144, 15.62, 1.456, 0.05, 1.465, 0.774, 0
0.145, 15.62, 1.499, 0.05, 1.465, 0.774, 0
0.146, 15.62, 1.435, 0.05, 1.465, 0.775, 0
0.147, 15.61, 1.485, 0.05, 1.465, 0.775, 0
0.148, 15.61, 1.443, 0.05, 1.465, 0.775, 0
0.149, 15.61, 1.489, 0.05, 1.465, 0.775, 0
0.15, 15.61, 1.445, 0.05, 1.465, 0.775, 0
0.151, 15.61, 1.47, 0.05, 1.465, 0.775, 0
0.152, 15.61, 1.464, 0.05, 1.465, 0.775, 0
0.153, 15.62, 1.483, 0.05, 1.465, 0.775, 0
0.154, 15.62, 1.446, 0.05, 1.465, 0.775, 0
0.155, 15.61, 1.475, 0.05, 1.466, 0.775, 0
0.156, 15.61, 1.476, 0.05, 1.466, 0.775, 0
0.157, 15.61, 1.439, 0.05, 1.466, 0.776, 0
0.158, 15.61, 1.487, 0.05, 1.466, 0.776, 0
0.159, 15.61, 1.483, 0.05, 1.466, 0.776, 0
0.16, 15.61, 1.478, 0.05, 1.466, 0.776, 0
0.161, 15.61, 1.461, 0.05, 1.466, 0.776, 0
0.162, 15.62, 1.496, 0.05, 1.466, 0.776, 0
0.163, 15.61, 1.489, 0.05, 1.466, 0.776, 0
0.164, 15.61, 1.421, 0.05, 1.466, 0.776, 0
0.165, 15.61, 1.465, 0.05, 1.467, 0.776, 0
0.166, 15.61, 1.454, 0.05, 1.466, 0.776, 0
0.167, 15.61, 1.482, 0.05, 1.467, 0.776, 0
0.168, 15.61, 1.497, 0.05, 1.467, 0.776, 0
0.169, 15.61, 1.463, 0.05, 1.467, 0.776, 0
0.17, 15.61, 1.463, 0.05, 1.467, 0.776, 0
0.171, 15.61, 1.475, 0.05, 1.468, 0.776, 0
0.172, 15.61, 1.492, 0.05, 1.468, 0.776, 0
0.173, 15.62, 1.464, 0.05, 1.468, 0.776, 0
0.174, 15.62, 1.464, 0.05, 1.468, 0.776, 0
0.175, 15.62, 1.472, 0.05, 1.468, 0.776, 0
0.176, 15.62, 1.461, 0.05, 1.468, 0.776, 0
0.177, 15.62, 1.477, 0.05, 1.468, 0.777, 0
0.178, 15.62, 1.487, 0.05, 1.468, 0.777, 0
0.179, 15.62, 1.487, 0.05, 1.468, 0.777, 0
0.18, 15.62, 1.471, 0.05, 1.468, 0.777, 0
0.181, 15.62, 1.46, 0.05, 1.468, 0.777, 0
0.182, 15.62, 1.485, 0.05, 1.468, 0.777, 0
0.183, 15.62, 1.456, 0.05, 1.468, 0.777, 0
0.184, 15.62, 1.484, 0.05, 1.468, 0.777, 0
0.185, 15.62, 1.453, 0.05, 1.468, 0.777, 0
0.186, 15.62, 1.464, 0.05, 1.468, 0.777, 0
0.187, 15.62, 1.455, 0.05, 1.468, 0.777, 0
0.188, 15.62, 1.47, 0.05, 1.468, 0.777, 0
0.189, 15.62, 1.455, 0.05, 1.468, 0.777, 0
0.19, 15.62, 1.474, 0.05, 1.468, 0.777, 0
0.191, 15.62, 1.475, 0.05, 1.468, 0.777, 0
0.192, 15.62, 1.479, 0.05, 1.468, 0.777, 0
0.193, 15.62, 1.479, 0.05, 1.468, 0.777, 0
0.194, 15.62, 1.458, 0.05, 1.468, 0.777, 0
0.195, 15.62, 1.476, 0.05, 1.468, 0.777, 0
0.196, 15.62, 1.453, 0.05, 1.468, 0.777, 0
0.197, 15.62, 1.492, 0.05, 1.468, 0.777, 0
0.198, 15.62, 1.48, 0.05, 1.468, 0.777, 0
0.199, 15.62, 1.442, 0.05, 1.468, 0.777, 0
0.2, 15.62, 1.463, 0.05, 1.468, 0.777, 0
0.211, 15.62, 1.464, 0.05, 1.469, 0.779, 100
0.212, 15.62, 1.479, 0.05, 1.469, 0.779, 100
0.213, 15.62, 1.454, 0.05, 1.469, 0.78, 100
0.214, 15.62, 1.491, 0.05, 1.469, 0.78, 100
0.215, 15.62, 1.525, 0.05, 1.47, 0.78, 100
0.216, 15.62, 1.508, 0.05, 1.472, 0.78, 100
0.217, 15.62, 1.52, 0.05, 1.473, 0.781, 100
0.218, 15.62, 1.528, 0.05, 1.475, 0.781, 100
0.219, 15.62, 1.504, 0.05, 1.476, 0.781, 100
0.22, 15.62, 1.526, 0.05, 1.478, 0.782, 100
0.221, 15.62, 1.489, 0.05, 1.478, 0.782, 100
0.222, 15.62, 1.488, 0.05, 1.479, 0.782, 100
0.223, 15.62, 1.503, 0.05, 1.479, 0.783, 100
0.224, 15.62, 1.503, 0.05, 1.479, 0.783, 100
0.225, 15.62, 1.485, 0.05, 1.48, 0.783, 100
0.226, 15.62, 1.497, 0.05, 1.481, 0.783, 100
0.227, 15.62, 1.501, 0.05, 1.482, 0.784, 100
0.228, 15.62, 1.514, 0.05, 1.483, 0.784, 100
0.229, 15.62, 1.488, 0.05, 1.484, 0.784, 100
0.23, 15.62, 1.512, 0.05, 1.485, 0.785, 100
0.231, 15.62, 1.512, 0.05, 1.485, 0.785, 100
0.232, 15.62, 1.485, 0.05, 1.486, 0.785, 100
0.233, 15.62, 1.485, 0.05, 1.486, 0.785, 100
0.234, 15.62, 1.48, 0.05, 1.488, 0.786, 100
0.235, 15.62, 1.482, 0.05, 1.488, 0.786, 100
0.236, 15.62, 1.5, 0.05, 1.489, 0.786, 100
0.237, 15.62, 1.498, 0.05, 1.489, 0.786, 100
0.238, 15.62, 1.509, 0.05, 1.49, 0.787, 100
0.239, 15.62, 1.527, 0.05, 1.491, 0.787, 100
0.24, 15.62, 1.489, 0.05, 1.492, 0.787, 100
0.241, 15.62, 1.508, 0.05, 1.492, 0.787, 100
0.242, 15.62, 1.49, 0.05, 1.492, 0.788, 100
0.243, 15.62, 1.498, 0.05, 1.492, 0.788, 100
0.244, 15.62, 1.482, 0.05, 1.493, 0.788, 100
0.245, 15.62, 1.517, 0.05, 1.493, 0.788, 100
0.246, 15.62, 1.508, 0.05, 1.494, 0.788, 100
0.247, 15.62, 1.506, 0.05, 1.494, 0.789, 100
0.248, 15.62, 1.498, 0.05, 1.494, 0.789, 100
0.249, 15.62, 1.478, 0.05, 1.494, 0.789, 100
0.25, 15.62, 1.485, 0.05, 1.494, 0.789, 100
0.251, 15.62, 1.53, 0.05, 1.495, 0.789, 100
0.252, 15.62, 1.492, 0.05, 1.495, 0.789, 100
0.253, 15.62, 1.532, 0.05, 1.496, 0.789, 100
0.254, 15.62, 1.508, 0.05, 1.496, 0.79, 100
0.255, 15.62, 1.5, 0.05, 1.496, 0.79, 100
0.256, 15.62, 1.509, 0.05, 1.497, 0.79, 100
0.257, 15.62, 1.509, 0.05, 1.497, 0.79, 100
0.258, 15.62, 1.487, 0.05, 1.497, 0.79, 100
0.259, 15.62, 1.488, 0.05, 1.497, 0.79, 100
0.26, 15.62, 1.506, 0.05, 1.498, 0.79, 100
0.261, 15.62, 1.511, 0.05, 1.498, 0.79, 100
0.262, 15.62, 1.509, 0.05, 1.498, 0.79, 100
0.263, 15.62, 1.488, 0.05, 1.498, 0.79, 100
0.264, 15.62, 1.484, 0.05, 1.498, 0.79, 100
0.265, 15.62, 1.482, 0.05, 1.498, 0.79, 100
0.266, 15.62, 1.504, 0.05, 1.498, 0.79, 100
0.267, 15.62, 1.542, 0.05, 1.499, 0.79, 100
0.268, 15.62, 1.489, 0.05, 1.499, 0.79, 100
0.269, 15.62, 1.487, 0.05, 1.499, 0.79, 100
0.27, 15.62, 1.488, 0.05, 1.499, 0.79, 100
0.271, 15.62, 1.519, 0.05, 1.5, 0.79, 100
0.272, 15.62, 1.474, 0.05, 1.5, 0.79, 100
0.273, 15.62, 1.467, 0.05, 1.499, 0.789, 100
0.274, 15.62, 1.478, 0.05, 1.498, 0.789, 100
0.275, 15.62, 1.484, 0.05, 1.497, 0.789, 100
0.276, 15.62, 1.507, 0.05, 1.496, 0.789, 100
0.277, 15.62, 1.453, 0.05, 1.496, 0.789, 100
0.278, 15.62, 1.49, 0.05, 1.495, 0.789, 100
0.279, 15.62, 1.481, 0.05, 1.494, 0.788, 100
0.28, 15.62, 1.481, 0.05, 1.494, 0.788, 100
0.281, 15.62, 1.482, 0.05, 1.492, 0.788, 100
0.282, 15.62, 1.448, 0.05, 1.492, 0.788, 100
0.283, 15.62, 1.5, 0.05, 1.491, 0.788, 100
0.284, 15.62, 1.443, 0.05, 1.491, 0.787, 100
0.285, 15.62, 1.479, 0.05, 1.49, 0.787, 100
0.286, 15.62, 1.476, 0.05, 1.489, 0.787, 100
0.287, 15.62, 1.456, 0.05, 1.489, 0.787, 100
0.288, 15.62, 1.472, 0.05, 1.488, 0.786, 100
0.289, 15.62, 1.486, 0.05, 1.488, 0.786, 100
0.29, 15.62, 1.475, 0.05, 1.487, 0.786, 100
0.291, 15.62, 1.48, 0.05, 1.487, 0.786, 100
0.292, 15.62, 1.467, 0.05, 1.486, 0.785, 100
0.293, 15.62, 1.457, 0.049, 1.486, 0.785, 100
0.294, 15.62, 1.477, 0.049, 1.486, 0.785, 100
0.295, 15.62, 1.477, 0.049, 1.485, 0.784, 100
0.296, 15.62, 1.443, 0.049, 1.485, 0.784, 100
0.297, 15.62, 1.449, 0.049, 1.484, 0.784, 100
0.298, 15.62, 1.485, 0.049, 1.484, 0.783, 100
0.299, 15.62, 1.485, 0.049, 1.484, 0.783, 100
0.3, 15.62, 1.438, 0.049, 1.482, 0.783, 100
0.301, 15.62, 1.449, 0.049, 1.48, 0.782, 100
0.312, 15.62, 1.431, 0.049, 1.467, 0.776, 108
0.313, 15.62, 1.419, 0.049, 1.466, 0.775, 108
0.314, 15.62, 1.423, 0.049, 1.465, 0.775, 108
0.315, 15.62, 1.436, 0.049, 1.464, 0.774, 108
0.316, 15.62, 1.421, 0.049, 1.464, 0.774, 108
0.317, 15.62, 1.47, 0.049, 1.463, 0.773, 108
0.318, 15.62, 1.448, 0.049, 1.462, 0.773, 108
0.319, 15.62, 1.486, 0.049, 1.462, 0.773, 108
0.32, 15.62, 1.401, 0.049, 1.461, 0.772, 108
0.321, 15.62, 1.47, 0.049, 1.46, 0.772, 108
0.322, 15.62, 1.434, 0.049, 1.46, 0.771, 108
0.323, 15.62, 1.434, 0.049, 1.459, 0.771, 108
0.324, 15.62, 1.457, 0.049, 1.458, 0.771, 108
0.325, 15.62, 1.426, 0.049, 1.458, 0.771, 108
0.326, 15.62, 1.42, 0.049, 1.458, 0.771, 108
0.327, 15.62, 1.437, 0.049, 1.458, 0.77, 108
0.328, 15.62, 1.417, 0.049, 1.457, 0.77, 108
0.329, 15.62, 1.424, 0.049, 1.456, 0.77, 108
