Time, Vsupply, ia, ib, ic, dca, dcb, dcc, dc_activated
0.0, 15.91, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.002, 15.91, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.003, 15.91, 0.012, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.004, 15.91, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.005, 15.91, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.006, 15.91, 0.012, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.007, 15.91, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.008, 15.91, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.009, 15.91, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.01, 15.91, 0.019, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.011, 15.91, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0
0.012, 15.91, 0.019, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.013, 15.91, 0.015, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.014, 15.91, 0.011, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.015, 15.91, 0.009, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.016, 15.91, 0.024, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.017, 15.91, -0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.018, 15.91, 0.011, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.019, 15.91, 0.018, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.02, 15.91, 0.013, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.021, 15.91, 0.014, 0.0, 0.0, 0.001, 0.0, 0.0, 0
0.022, 15.91, 0.013, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.023, 15.91, 0.012, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.024, 15.91, 0.014, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.025, 15.91, 0.014, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.026, 15.91, 0.007, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.027, 15.91, 0.025, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.028, 15.91, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.029, 15.91, 0.012, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.03, 15.91, 0.017, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.031, 15.91, 0.008, 0.0, 0.0, 0.002, 0.0, 0.0, 0
0.032, 15.91, 0.01, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.033, 15.91, 0.006, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.034, 15.91, 0.018, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.035, 15.91, 0.009, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.036, 15.91, 0.012, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.037, 15.91, 0.017, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.038, 15.91, 0.012, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.039, 15.91, 0.008, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.04, 15.91, 0.012, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.041, 15.91, 0.015, 0.0, 0.0, 0.003, 0.0, 0.0, 0
0.042, 15.91, 0.015, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.043, 15.91, 0.014, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.044, 15.91, 0.013, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.045, 15.91, 0.012, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.046, 15.91, 0.022, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.047, 15.91, 0.019, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.048, 15.91, 0.008, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.049, 15.91, 0.009, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.05, 15.91, 0.008, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.051, 15.91, 0.004, 0.0, 0.0, 0.004, 0.0, 0.0, 0
0.052, 15.91, 0.015, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.053, 15.91, 0.009, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.054, 15.91, 0.009, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.055, 15.91, 0.0, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.056, 15.91, 0.002, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.057, 15.91, 0.015, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.058, 15.91, 0.015, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.059, 15.91, -0.014, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.06, 15.91, -0.014, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.061, 15.91, 0.016, 0.0, 0.0, 0.005, 0.0, 0.0, 0
0.062, 15.91, 0.006, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.063, 15.91, 0.006, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.064, 15.91, 0.003, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.065, 15.91, 0.007, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.066, 15.91, 0.014, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.067, 15.91, 0.016, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.068, 15.91, 0.0, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.069, 15.91, 0.009, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.07, 15.91, 0.019, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.071, 15.91, 0.018, 0.0, 0.0, 0.006, 0.0, 0.0, 0
0.072, 15.91, 0.015, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.073, 15.91, 0.015, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.074, 15.91, 0.007, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.075, 15.91, 0.002, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.076, 15.91, 0.008, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.077, 15.91, 0.004, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.078, 15.9, 0.005, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.079, 15.91, 0.011, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.08, 15.91, 0.011, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.081, 15.91, 0.009, 0.0, 0.0, 0.007, 0.0, 0.0, 0
0.082, 15.91, 0.01, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.083, 15.91, 0.02, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.084, 15.91, 0.017, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.085, 15.91, 0.009, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.086, 15.91, 0.003, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.087, 15.91, 0.0, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.088, 15.91, 0.0, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.089, 15.91, -0.004, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.09, 15.91, 0.008, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.091, 15.91, 0.021, 0.0, 0.0, 0.008, 0.0, 0.0, 0
0.092, 15.91, 0.015, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.093, 15.91, 0.011, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.094, 15.91, 0.01, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.095, 15.91, 0.009, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.096, 15.91, -0.001, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.097, 15.91, 0.01, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.098, 15.91, 0.019, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.099, 15.91, 0.013, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.1, 15.91, 0.015, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.101, 15.91, 0.006, 0.0, 0.0, 0.009, 0.0, 0.0, 0
0.102, 15.91, 0.012, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.103, 15.91, 0.001, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.104, 15.91, 0.014, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.105, 15.91, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.106, 15.91, 0.009, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.107, 15.91, 0.011, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.108, 15.91, 0.008, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.109, 15.91, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.11, 15.91, 0.002, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.111, 15.91, 0.021, 0.0, 0.0, 0.01, 0.0, 0.0, 0
0.112, 15.91, 0.01, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.113, 15.91, 0.009, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.114, 15.91, 0.017, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.115, 15.91, 0.001, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.116, 15.91, -0.003, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.117, 15.91, 0.003, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.118, 15.91, 0.008, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.119, 15.91, 0.0, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.12, 15.91, 0.006, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.121, 15.91, -0.004, 0.0, 0.0, 0.011, 0.0, 0.0, 0
0.122, 15.91, 0.016, 0.0, 0.0, 0.012, 0.0, 0.0, 0
0.123, 15.9, 0.005, 0.0, 0.0, 0.012, 0.0, 0.0, 0
0.124, 15.91, 0.005, 0.0, 0.0, 0.012, 0.0, 0.0, 0
0.125, 15.91, 0.016, 0.0, 0.0, 0.012, 0.0, 0.0, 0
0.126, 15.91, 0.014, 0.0, 0.0, 0.012, 0.0, 0.0, 0
0.127, 15.91, -0.003, 0.0, 0.0, 0.012, 0.0, 0.0, 0
0.128, 15.91, 0.012, 0.0, 0.0, 0.012, 0.0, 0.0, 0
