Time, Vsupply, ia, ib, ic, dca, dcb, dcc, dc_activated
0.101, 17.72, 2.153, 2.014, 0.05, 0.06, 0.0, 0.0, 0
0.102, 17.72, 2.195, 2.019, 0.05, 0.059, 0.0, 0.0, 0
0.103, 17.72, 2.126, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.104, 17.72, 2.236, 2.016, 0.05, 0.051, 0.0, 0.0, 0
0.105, 17.71, 2.15, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.106, 17.71, 2.12, 2.012, 0.05, 0.06, 0.0, 0.0, 0
0.107, 17.71, 2.101, 2.013, 0.05, 0.06, 0.0, 0.0, 0
0.108, 17.71, 2.149, 2.013, 0.05, 0.06, 0.0, 0.0, 0
0.109, 17.71, 2.139, 2.013, 0.05, 0.06, 0.0, 0.0, 0
0.11, 17.71, 2.114, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.111, 17.71, 2.183, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.112, 17.71, 2.179, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.113, 17.71, 2.117, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.114, 17.71, 2.11, 2.015, 0.05, 0.06, 0.0, 0.0, 0
0.115, 17.71, 2.137, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.116, 17.71, 2.144, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.117, 17.71, 2.127, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.118, 17.71, 2.143, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.119, 17.71, 2.173, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.12, 17.71, 2.15, 2.013, 0.05, 0.06, 0.0, 0.0, 0
0.121, 17.71, 2.212, 2.018, 0.05, 0.051, 0.0, 0.0, 0
0.122, 17.71, 2.241, 2.022, 0.05, 0.054, 0.0, 0.0, 0
0.123, 17.71, 2.228, 2.018, 0.05, 0.057, 0.0, 0.0, 0
0.124, 17.71, 2.171, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.125, 17.71, 2.151, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.126, 17.71, 2.248, 2.015, 0.05, 0.054, 0.0, 0.0, 0
0.127, 17.71, 1.892, 2.016, 0.05, 0.041, 0.0, 0.0, 0
0.128, 17.71, 2.24, 2.019, 0.05, 0.051, 0.0, 0.0, 0
0.129, 17.71, 2.169, 2.015, 0.05, 0.06, 0.0, 0.0, 0
0.13, 17.71, 2.218, 2.016, 0.05, 0.059, 0.0, 0.0, 0
0.131, 17.71, 2.216, 2.018, 0.05, 0.059, 0.0, 0.0, 0
0.132, 17.71, 2.139, 2.025, 0.05, 0.06, 0.0, 0.0, 0
0.133, 17.71, 2.223, 2.022, 0.05, 0.048, 0.0, 0.0, 0
0.134, 17.71, 2.161, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.135, 17.71, 2.137, 2.016, 0.05, 0.06, 0.0, 0.0, 0
