Time, Vsupply, ia, dca, current, tension, current_case, frequence, inductance_line
0.0, 4.67, 4.67, 0.0, 4.67, 1.897, 0, 1000, 0.0
0.002, 4.63, 4.632, 0.0, 4.632, 1.897, 0, 1000, 0.0
0.003, 4.65, 4.646, 0.0, 4.646, 1.897, 0, 1000, 0.0
0.004, 4.66, 4.664, 0.0, 4.664, 1.897, 0, 1000, 0.0
0.005, 4.64, 4.644, 0.0, 4.644, 1.897, 0, 1000, 0.0
0.006, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.007, 4.64, 4.639, 0.0, 4.639, 1.897, 0, 1000, 0.0
0.008, 4.63, 4.632, 0.0, 4.632, 1.897, 0, 1000, 0.0
0.009, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.01, 4.65, 4.65, 0.0, 4.65, 1.897, 0, 1000, 0.0
0.011, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.012, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.013, 4.68, 4.682, 0.0, 4.682, 1.897, 0, 1000, 0.0
0.014, 4.67, 4.671, 0.0, 4.671, 1.897, 0, 1000, 0.0
0.015, 4.64, 4.636, 0.0, 4.636, 1.897, 0, 1000, 0.0
0.016, 4.65, 4.649, 0.0, 4.649, 1.897, 0, 1000, 0.0
0.017, 4.65, 4.652, 0.0, 4.652, 1.897, 0, 1000, 0.0
0.018, 4.64, 4.639, 0.0, 4.639, 1.897, 0, 1000, 0.0
0.019, 4.66, 4.659, 0.0, 4.659, 1.897, 0, 1000, 0.0
0.02, 4.64, 4.641, 0.0, 4.641, 1.897, 0, 1000, 0.0
0.021, 4.66, 4.658, 0.0, 4.658, 1.897, 0, 1000, 0.0
0.022, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.023, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.024, 4.63, 4.634, 0.0, 4.634, 1.897, 0, 1000, 0.0
0.025, 4.68, 4.68, 0.0, 4.68, 1.897, 0, 1000, 0.0
0.026, 4.65, 4.651, 0.0, 4.651, 1.897, 0, 1000, 0.0
0.027, 4.63, 4.63, 0.0, 4.63, 1.897, 0, 1000, 0.0
0.028, 4.62, 4.622, 0.0, 4.622, 1.897, 0, 1000, 0.0
0.029, 4.63, 4.633, 0.0, 4.633, 1.897, 0, 1000, 0.0
0.03, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.031, 4.63, 4.628, 0.0, 4.628, 1.897, 0, 1000, 0.0
0.032, 4.64, 4.644, 0.0, 4.644, 1.897, 0, 1000, 0.0
0.033, 4.63, 4.627, 0.0, 4.627, 1.897, 0, 1000, 0.0
0.034, 4.62, 4.622, 0.0, 4.622, 1.897, 0, 1000, 0.0
0.035, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.036, 4.66, 4.659, 0.0, 4.659, 1.897, 0, 1000, 0.0
0.037, 4.61, 4.614, 0.0, 4.614, 1.897, 0, 1000, 0.0
0.038, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.039, 4.64, 4.639, 0.0, 4.639, 1.897, 0, 1000, 0.0
0.04, 4.65, 4.651, 0.0, 4.651, 1.897, 0, 1000, 0.0
0.041, 4.66, 4.662, 0.0, 4.662, 1.897, 0, 1000, 0.0
0.042, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.043, 4.64, 4.636, 0.0, 4.636, 1.897, 0, 1000, 0.0
0.044, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.045, 4.63, 4.63, 0.0, 4.63, 1.897, 0, 1000, 0.0
0.046, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.047, 4.65, 4.651, 0.0, 4.651, 1.897, 0, 1000, 0.0
0.048, 4.65, 4.652, 0.0, 4.652, 1.897, 0, 1000, 0.0
0.049, 4.65, 4.653, 0.0, 4.653, 1.897, 0, 1000, 0.0
0.05, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.051, 4.65, 4.653, 0.0, 4.653, 1.897, 0, 1000, 0.0
0.052, 4.65, 4.651, 0.0, 4.651, 1.897, 0, 1000, 0.0
0.053, 4.64, 4.642, 0.0, 4.642, 1.897, 0, 1000, 0.0
0.054, 4.64, 4.643, 0.0, 4.643, 1.897, 0, 1000, 0.0
0.055, 4.62, 4.621, 0.0, 4.621, 1.897, 0, 1000, 0.0
0.056, 4.64, 4.643, 0.0, 4.643, 1.897, 0, 1000, 0.0
0.057, 4.64, 4.636, 0.0, 4.636, 1.897, 0, 1000, 0.0
0.058, 4.66, 4.664, 0.0, 4.664, 1.897, 0, 1000, 0.0
0.059, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.06, 4.64, 4.635, 0.0, 4.635, 1.897, 0, 1000, 0.0
0.061, 4.66, 4.664, 0.0, 4.664, 1.897, 0, 1000, 0.0
0.062, 4.61, 4.613, 0.0, 4.613, 1.897, 0, 1000, 0.0
0.063, 4.68, 4.676, 0.0, 4.676, 1.897, 0, 1000, 0.0
0.064, 4.66, 4.659, 0.0, 4.659, 1.897, 0, 1000, 0.0
0.065, 4.62, 4.622, 0.0, 4.622, 1.897, 0, 1000, 0.0
0.066, 4.64, 4.639, 0.0, 4.639, 1.897, 0, 1000, 0.0
0.067, 4.66, 4.661, 0.0, 4.661, 1.897, 0, 1000, 0.0
0.068, 4.65, 4.649, 0.0, 4.649, 1.897, 0, 1000, 0.0
0.069, 4.62, 4.621, 0.0, 4.621, 1.897, 0, 1000, 0.0
0.07, 4.64, 4.636, 0.0, 4.636, 1.897, 0, 1000, 0.0
0.071, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.072, 4.66, 4.663, 0.0, 4.663, 1.897, 0, 1000, 0.0
0.073, 4.65, 4.646, 0.0, 4.646, 1.897, 0, 1000, 0.0
0.074, 4.62, 4.623, 0.0, 4.623, 1.897, 0, 1000, 0.0
0.075, 4.63, 4.632, 0.0, 4.632, 1.897, 0, 1000, 0.0
0.076, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.077, 4.62, 4.623, 0.0, 4.623, 1.897, 0, 1000, 0.0
0.078, 4.64, 4.644, 0.0, 4.644, 1.897, 0, 1000, 0.0
0.079, 4.68, 4.683, 0.0, 4.683, 1.897, 0, 1000, 0.0
0.08, 4.66, 4.657, 0.0, 4.657, 1.897, 0, 1000, 0.0
0.081, 4.64, 4.641, 0.0, 4.641, 1.897, 0, 1000, 0.0
0.082, 4.65, 4.649, 0.0, 4.649, 1.897, 0, 1000, 0.0
0.083, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.084, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.085, 4.63, 4.632, 0.0, 4.632, 1.897, 0, 1000, 0.0
0.086, 4.62, 4.621, 0.0, 4.621, 1.897, 0, 1000, 0.0
