Time, Vsupply, dca, ia, take
0.0, 16.404, 0.0, -0.007, 1
0.002, 16.404, 0.0, -0.01, 1
0.003, 16.404, 0.001, -0.015, 1
0.004, 16.404, 0.002, -0.001, 1
0.005, 16.404, 0.003, -0.016, 1
0.006, 16.404, 0.004, 0.001, 1
0.007, 16.404, 0.004, -0.009, 1
0.008, 16.404, 0.005, -0.016, 1
0.009, 16.404, 0.006, -0.01, 1
0.01, 16.404, 0.007, -0.007, 1
0.011, 16.404, 0.008, -0.017, 1
0.012, 16.404, 0.008, -0.01, 1
0.013, 16.404, 0.009, -0.018, 1
0.014, 16.404, 0.01, -0.028, 1
0.015, 16.404, 0.011, -0.006, 1
0.016, 16.404, 0.012, -0.002, 1
0.017, 16.404, 0.012, -0.025, 1
0.018, 16.404, 0.013, -0.017, 1
0.019, 16.404, 0.014, -0.019, 1
0.02, 16.404, 0.015, -0.008, 1
0.021, 16.404, 0.015, -0.008, 1
0.022, 16.404, 0.016, 0.258, 1
0.023, 16.404, 0.017, 0.263, 1
0.024, 16.403, 0.018, 0.244, 1
0.025, 16.403, 0.019, 0.973, 1
0.026, 16.403, 0.02, 1.066, 1
0.027, 16.403, 0.02, 0.613, 1
0.028, 16.402, 0.021, 1.261, 1
0.029, 16.402, 0.022, 1.281, 1
0.03, 16.402, 0.023, 1.775, 1
0.031, 16.402, 0.024, 1.836, 1
0.032, 16.402, 0.024, 1.514, 1
0.033, 16.402, 0.025, 1.899, 1
0.034, 16.401, 0.026, 2.075, 1
0.035, 16.401, 0.027, 2.442, 1
0.036, 16.401, 0.028, 2.464, 1
0.037, 16.401, 0.028, 2.38, 1
0.038, 16.401, 0.029, 2.498, 1
0.039, 16.401, 0.03, 2.529, 1
0.04, 16.401, 0.031, 2.691, 1
0.041, 16.401, 0.032, 2.768, 1
0.042, 16.401, 0.032, 2.796, 1
0.043, 16.401, 0.033, 2.889, 1
0.044, 16.401, 0.034, 2.909, 1
0.045, 16.4, 0.035, 3.01, 1
0.046, 16.4, 0.036, 3.045, 1
0.047, 16.4, 0.036, 3.042, 1
0.048, 16.4, 0.037, 3.083, 1
0.049, 16.4, 0.038, 3.121, 1
0.05, 16.401, 0.039, 3.164, 1
0.051, 16.4, 0.04, 3.19, 1
0.052, 16.4, 0.04, 3.19, 1
0.053, 16.401, 0.04, 3.192, 1
0.054, 16.401, 0.042, 3.272, 1
0.055, 16.401, 0.043, 3.283, 1
0.056, 16.4, 0.044, 3.313, 1
0.057, 16.4, 0.044, 3.295, 1
