Time, Vsupply, dca, ia, take
0.0, 16.321, 0.0, -0.006, 1
0.002, 16.321, 0.0, 0.0, 1
0.003, 16.321, 0.001, 0.008, 1
0.004, 16.321, 0.002, 0.01, 1
0.005, 16.321, 0.003, 0.006, 1
0.006, 16.321, 0.004, 0.003, 1
0.007, 16.321, 0.004, 0.008, 1
0.008, 16.321, 0.005, 0.014, 1
0.009, 16.322, 0.006, 0.004, 1
0.01, 16.321, 0.007, 0.0, 1
0.011, 16.321, 0.008, 0.0, 1
0.012, 16.321, 0.008, 0.004, 1
0.013, 16.321, 0.009, -0.009, 1
0.014, 16.321, 0.01, 0.015, 1
0.015, 16.321, 0.011, 0.008, 1
0.016, 16.321, 0.012, -0.011, 1
0.017, 16.321, 0.012, 0.007, 1
0.018, 16.321, 0.013, -0.006, 1
0.019, 16.321, 0.014, 0.004, 1
0.02, 16.322, 0.015, 0.002, 1
0.021, 16.322, 0.016, 0.004, 1
0.027, 16.322, 0.016, 0.008, 1
0.028, 16.322, 0.017, -0.002, 1
0.029, 16.322, 0.018, 0.002, 1
0.029, 16.321, 0.019, 0.0, 1
0.029, 16.321, 0.02, -0.0, 1
0.03, 16.321, 0.02, 0.002, 1
0.03, 16.32, 0.021, 0.004, 1
0.031, 16.32, 0.022, -0.001, 1
0.031, 16.32, 0.023, -0.008, 1
0.031, 16.32, 0.024, -0.004, 1
0.032, 16.32, 0.024, 0.01, 1
0.033, 16.32, 0.025, -0.0, 1
0.034, 16.32, 0.026, -0.002, 1
0.035, 16.32, 0.027, -0.004, 1
0.036, 16.319, 0.028, -0.002, 1
0.037, 16.319, 0.028, 0.007, 1
0.038, 16.319, 0.029, -0.012, 1
0.039, 16.319, 0.03, 0.006, 1
0.04, 16.318, 0.031, 0.008, 1
0.041, 16.317, 0.032, 0.024, 1
0.042, 16.317, 0.032, 0.044, 1
0.043, 16.317, 0.033, 0.017, 1
0.044, 16.317, 0.034, 0.14, 1
0.045, 16.316, 0.035, 0.083, 1
0.046, 16.316, 0.036, 0.058, 1
0.047, 16.316, 0.036, 0.11, 1
0.048, 16.315, 0.037, 0.138, 1
0.049, 16.315, 0.038, 0.07, 1
0.05, 16.314, 0.039, 0.241, 1
0.051, 16.314, 0.04, 0.198, 1
0.052, 16.313, 0.04, 0.272, 1
0.053, 16.313, 0.041, 0.214, 1
0.054, 16.313, 0.042, 0.26, 1
0.055, 16.312, 0.043, 0.437, 1
0.056, 16.312, 0.043, 0.437, 1
0.057, 16.312, 0.044, 0.339, 1
0.058, 16.312, 0.045, 0.387, 1
0.059, 16.312, 0.045, 0.387, 1
0.06, 16.311, 0.047, 0.652, 1
0.061, 16.31, 0.048, 0.517, 1
0.062, 16.311, 0.048, 0.521, 1
0.063, 16.31, 0.049, 0.721, 1
0.064, 16.309, 0.05, 0.633, 1
0.065, 16.309, 0.051, 0.878, 1
0.066, 16.308, 0.052, 0.676, 1
0.067, 16.308, 0.052, 0.813, 1
0.068, 16.308, 0.053, 0.748, 1
0.069, 16.307, 0.054, 0.96, 1
0.07, 16.306, 0.055, 0.907, 1
0.071, 16.306, 0.056, 1.033, 1
0.072, 16.306, 0.056, 0.967, 1
0.073, 16.306, 0.057, 1.123, 1
0.074, 16.305, 0.058, 1.196, 1
0.075, 16.304, 0.059, 1.247, 1
0.076, 16.304, 0.06, 1.355, 1
0.077, 16.303, 0.06, 1.453, 1
0.078, 16.303, 0.061, 1.41, 1
0.079, 16.302, 0.062, 1.517, 1
0.08, 16.301, 0.063, 1.534, 1
0.081, 16.301, 0.064, 1.647, 1
0.082, 16.3, 0.064, 1.595, 1
0.083, 16.3, 0.065, 1.707, 1
0.084, 16.298, 0.066, 1.842, 1
0.085, 16.298, 0.067, 1.87, 1
0.086, 16.297, 0.068, 1.993, 1
0.087, 16.297, 0.068, 1.961, 1
0.088, 16.296, 0.069, 1.999, 1
0.089, 16.295, 0.07, 2.037, 1
0.09, 16.295, 0.071, 2.099, 1
0.091, 16.294, 0.072, 2.374, 1
0.092, 16.293, 0.072, 2.211, 1
0.093, 16.292, 0.073, 2.235, 1
0.094, 16.292, 0.074, 2.382, 1
0.095, 16.291, 0.075, 2.558, 1
0.096, 16.291, 0.076, 2.593, 1
0.097, 16.29, 0.076, 2.575, 1
0.098, 16.289, 0.077, 2.577, 1
0.099, 16.288, 0.078, 2.675, 1
0.1, 16.287, 0.079, 2.744, 1
0.101, 16.286, 0.08, 2.89, 1
0.102, 16.285, 0.08, 2.871, 1
0.103, 16.284, 0.081, 3.025, 1
0.104, 16.284, 0.082, 3.046, 1
0.105, 16.283, 0.083, 3.062, 1
0.106, 16.282, 0.084, 3.099, 1
0.107, 16.281, 0.084, 3.134, 1
0.108, 16.28, 0.085, 3.217, 1
0.109, 16.279, 0.086, 3.229, 1
0.11, 16.278, 0.087, 3.308, 1
0.111, 16.277, 0.088, 3.337, 1
0.112, 16.276, 0.088, 3.475, 1
0.113, 16.276, 0.089, 3.517, 1
0.114, 16.274, 0.09, 3.611, 1
0.115, 16.273, 0.091, 3.636, 1
0.116, 16.272, 0.092, 3.641, 1
0.117, 16.271, 0.092, 3.7, 1
0.118, 16.271, 0.093, 3.758, 1
0.119, 16.271, 0.093, 3.758, 1
0.12, 16.269, 0.094, 3.841, 1
0.121, 16.267, 0.096, 3.943, 1
0.122, 16.267, 0.096, 3.884, 1
0.123, 16.266, 0.097, 3.967, 1
0.124, 16.265, 0.098, 3.994, 1
0.125, 16.263, 0.099, 4.051, 1
0.126, 16.262, 0.1, 4.123, 1
0.127, 16.262, 0.1, 4.132, 1
0.128, 16.262, 0.1, 4.132, 1
0.129, 16.26, 0.102, 4.206, 1
0.13, 16.258, 0.103, 4.267, 1
0.131, 16.257, 0.104, 4.331, 1
0.132, 16.256, 0.104, 4.317, 1
0.133, 16.255, 0.105, 4.402, 1
0.134, 16.253, 0.106, 4.46, 1
0.135, 16.252, 0.107, 4.472, 1
0.136, 16.251, 0.108, 4.516, 1
0.137, 16.251, 0.108, 4.509, 1
0.138, 16.25, 0.109, 4.572, 1
0.139, 16.248, 0.11, 4.613, 1
0.14, 16.247, 0.111, 4.664, 1
0.141, 16.246, 0.112, 4.683, 1
0.142, 16.245, 0.112, 4.679, 1
0.143, 16.245, 0.113, 4.723, 1
0.144, 16.243, 0.114, 4.765, 1
0.145, 16.241, 0.115, 4.8, 1
0.146, 16.24, 0.116, 4.827, 1
0.147, 16.239, 0.116, 4.828, 1
0.148, 16.239, 0.117, 4.861, 1
0.149, 16.237, 0.118, 4.928, 1
0.15, 16.235, 0.119, 4.956, 1
0.151, 16.233, 0.12, 4.966, 1
0.152, 16.233, 0.12, 4.982, 1
0.153, 16.233, 0.121, 4.987, 1
0.154, 16.232, 0.122, 5.027, 1
0.155, 16.229, 0.123, 5.086, 1
0.156, 16.228, 0.124, 5.116, 1
0.157, 16.227, 0.124, 5.079, 1
0.158, 16.225, 0.125, 5.179, 1
0.159, 16.224, 0.126, 5.171, 1
0.16, 16.222, 0.127, 5.214, 1
0.161, 16.221, 0.128, 5.236, 1
0.162, 16.22, 0.128, 5.223, 1
0.163, 16.218, 0.129, 5.282, 1
0.164, 16.216, 0.13, 5.308, 1
0.165, 16.215, 0.131, 5.34, 1
0.166, 16.213, 0.132, 5.387, 1
0.167, 16.212, 0.132, 5.344, 1
0.168, 16.212, 0.132, 5.344, 1
0.169, 16.209, 0.134, 5.406, 1
0.17, 16.207, 0.135, 5.442, 1
0.171, 16.206, 0.136, 5.47, 1
0.172, 16.206, 0.136, 5.481, 1
0.173, 16.204, 0.137, 5.448, 1
0.174, 16.201, 0.138, 5.567, 1
0.175, 16.199, 0.139, 5.541, 1
0.176, 16.197, 0.14, 5.578, 1
0.177, 16.197, 0.14, 5.555, 1
0.178, 16.196, 0.141, 5.578, 1
0.179, 16.194, 0.142, 5.612, 1
0.18, 16.192, 0.143, 5.619, 1
0.181, 16.191, 0.144, 5.702, 1
0.182, 16.19, 0.144, 5.671, 1
0.183, 16.189, 0.145, 5.68, 1
0.184, 16.186, 0.146, 5.744, 1
0.185, 16.185, 0.147, 5.739, 1
0.186, 16.183, 0.148, 5.816, 1
0.187, 16.181, 0.148, 5.791, 1
0.188, 16.18, 0.149, 5.812, 1
0.189, 16.178, 0.15, 5.838, 1
0.19, 16.176, 0.151, 5.867, 1
0.191, 16.174, 0.152, 5.905, 1
0.192, 16.174, 0.152, 5.878, 1
0.193, 16.172, 0.153, 5.899, 1
0.194, 16.17, 0.154, 5.965, 1
0.195, 16.167, 0.155, 5.996, 1
0.196, 16.167, 0.156, 5.964, 1
0.197, 16.165, 0.156, 6.024, 1
0.198, 16.164, 0.157, 5.994, 1
0.199, 16.161, 0.158, 6.062, 1
0.2, 16.159, 0.159, 6.056, 1
0.201, 16.157, 0.16, 6.096, 1
0.202, 16.156, 0.16, 6.106, 1
0.203, 16.155, 0.161, 6.108, 1
0.204, 16.152, 0.162, 6.167, 1
0.205, 16.15, 0.163, 6.204, 1
0.206, 16.147, 0.164, 6.256, 1
0.207, 16.146, 0.164, 6.231, 1
0.208, 16.145, 0.165, 6.248, 1
0.209, 16.144, 0.166, 6.257, 1
0.21, 16.141, 0.167, 6.313, 1
0.211, 16.136, 0.168, 6.368, 1
0.212, 16.136, 0.168, 6.368, 1
0.213, 16.134, 0.169, 6.389, 1
0.214, 16.131, 0.17, 6.417, 1
0.215, 16.129, 0.171, 6.452, 1
0.216, 16.127, 0.172, 6.492, 1
0.217, 16.126, 0.172, 6.498, 1
0.218, 16.124, 0.173, 6.526, 1
0.219, 16.121, 0.174, 6.547, 1
0.22, 16.119, 0.175, 6.575, 1
0.221, 16.118, 0.176, 6.594, 1
0.222, 16.118, 0.176, 6.597, 1
0.223, 16.118, 0.176, 6.597, 1
0.224, 16.115, 0.177, 6.636, 1
0.225, 16.11, 0.179, 6.693, 1
0.226, 16.107, 0.18, 6.726, 1
0.227, 16.107, 0.18, 6.728, 1
0.228, 16.106, 0.181, 6.763, 1
0.229, 16.102, 0.182, 6.822, 1
0.23, 16.099, 0.183, 6.845, 1
0.231, 16.097, 0.184, 6.863, 1
0.232, 16.097, 0.184, 6.885, 1
0.233, 16.097, 0.184, 6.885, 1
0.234, 16.095, 0.185, 6.884, 1
0.235, 16.09, 0.187, 6.993, 1
0.236, 16.087, 0.188, 7.019, 1
0.237, 16.087, 0.188, 6.998, 1
0.238, 16.083, 0.189, 7.083, 1
0.239, 16.081, 0.19, 7.1, 1
0.24, 16.081, 0.19, 7.1, 1
0.241, 16.077, 0.192, 7.156, 1
0.242, 16.077, 0.192, 7.17, 1
0.243, 16.075, 0.193, 7.231, 1
0.244, 16.072, 0.194, 7.273, 1
0.245, 16.069, 0.195, 7.283, 1
0.246, 16.068, 0.196, 7.317, 1
0.247, 16.067, 0.196, 7.319, 1
0.248, 16.067, 0.197, 7.348, 1
0.249, 16.064, 0.198, 7.41, 1
0.25, 16.06, 0.199, 7.462, 1
0.251, 16.058, 0.2, 7.487, 1
0.252, 16.058, 0.2, 7.482, 1
0.253, 16.057, 0.201, 7.511, 1
0.254, 16.054, 0.202, 7.546, 1
0.255, 16.051, 0.203, 7.609, 1
0.256, 16.05, 0.204, 7.642, 1
0.257, 16.05, 0.204, 7.637, 1
0.258, 16.051, 0.205, 7.673, 1
0.259, 16.05, 0.206, 7.71, 1
0.26, 16.05, 0.206, 7.71, 1
0.261, 16.047, 0.207, 7.772, 1
0.262, 16.046, 0.208, 7.783, 1
0.263, 16.044, 0.209, 7.879, 1
0.264, 16.04, 0.21, 7.921, 1
0.265, 16.038, 0.211, 7.962, 1
0.266, 16.036, 0.212, 7.977, 1
0.267, 16.037, 0.212, 7.982, 1
0.268, 16.035, 0.213, 8.033, 1
0.269, 16.034, 0.214, 8.064, 1
0.27, 16.034, 0.215, 8.125, 1
0.271, 16.036, 0.214, 8.083, 1
0.272, 16.039, 0.214, 8.086, 1
0.273, 16.041, 0.213, 8.065, 1
0.274, 16.045, 0.212, 7.985, 1
0.275, 16.049, 0.211, 7.957, 1
0.276, 16.051, 0.21, 7.926, 1
0.277, 16.052, 0.21, 7.894, 1
0.278, 16.055, 0.209, 7.87, 1
0.279, 16.058, 0.208, 7.792, 1
0.28, 16.062, 0.207, 7.773, 1
0.281, 16.065, 0.206, 7.717, 1
0.282, 16.065, 0.206, 7.717, 1
0.283, 16.068, 0.205, 7.654, 1
0.284, 16.071, 0.204, 7.653, 1
0.285, 16.073, 0.203, 7.625, 1
0.286, 16.075, 0.202, 7.575, 1
0.287, 16.076, 0.202, 7.567, 1
0.288, 16.079, 0.201, 7.509, 1
0.289, 16.082, 0.2, 7.471, 1
0.29, 16.084, 0.199, 7.452, 1
0.291, 16.086, 0.198, 7.431, 1
0.292, 16.086, 0.198, 7.411, 1
0.293, 16.09, 0.197, 7.351, 1
0.294, 16.092, 0.196, 7.332, 1
0.295, 16.095, 0.195, 7.301, 1
0.296, 16.097, 0.194, 7.246, 1
0.297, 16.098, 0.194, 7.266, 1
0.298, 16.099, 0.193, 7.242, 1
0.299, 16.103, 0.192, 7.159, 1
0.3, 16.105, 0.191, 7.144, 1
0.301, 16.107, 0.19, 7.104, 1
0.302, 16.108, 0.19, 7.122, 1
0.303, 16.11, 0.189, 7.055, 1
0.304, 16.113, 0.188, 7.016, 1
0.305, 16.114, 0.187, 7.008, 1
0.306, 16.117, 0.186, 6.945, 1
0.307, 16.119, 0.186, 6.941, 1
0.308, 16.121, 0.185, 6.907, 1
0.309, 16.122, 0.184, 6.875, 1
0.31, 16.125, 0.183, 6.827, 1
0.311, 16.126, 0.182, 6.811, 1
0.312, 16.127, 0.182, 6.83, 1
0.313, 16.13, 0.181, 6.747, 1
0.314, 16.132, 0.18, 6.741, 1
0.315, 16.133, 0.179, 6.717, 1
0.316, 16.135, 0.178, 6.688, 1
0.317, 16.136, 0.178, 6.661, 1
0.318, 16.139, 0.177, 6.629, 1
0.319, 16.141, 0.176, 6.599, 1
0.32, 16.143, 0.175, 6.566, 1
0.321, 16.145, 0.174, 6.515, 1
0.322, 16.146, 0.174, 6.537, 1
0.323, 16.147, 0.173, 6.514, 1
0.324, 16.151, 0.172, 6.459, 1
0.325, 16.154, 0.171, 6.432, 1
0.326, 16.154, 0.17, 6.409, 1
0.327, 16.156, 0.17, 6.396, 1
0.328, 16.157, 0.169, 6.393, 1
0.329, 16.159, 0.168, 6.309, 1
0.33, 16.161, 0.167, 6.289, 1
0.331, 16.165, 0.166, 6.259, 1
0.332, 16.166, 0.166, 6.276, 1
0.333, 16.167, 0.165, 6.256, 1
0.334, 16.168, 0.164, 6.219, 1
0.335, 16.168, 0.164, 6.219, 1
0.336, 16.169, 0.163, 6.212, 1
0.337, 16.171, 0.162, 6.135, 1
0.338, 16.171, 0.162, 6.135, 1
0.339, 16.175, 0.16, 6.062, 1
0.34, 16.177, 0.159, 6.043, 1
0.341, 16.178, 0.158, 6.057, 1
0.342, 16.179, 0.158, 6.068, 1
0.343, 16.179, 0.158, 6.068, 1
0.344, 16.183, 0.156, 5.99, 1
0.345, 16.185, 0.155, 5.977, 1
0.346, 16.187, 0.154, 5.94, 1
0.347, 16.188, 0.154, 5.923, 1
0.348, 16.189, 0.153, 5.912, 1
0.349, 16.191, 0.152, 5.871, 1
0.35, 16.193, 0.151, 5.832, 1
0.351, 16.195, 0.15, 5.831, 1
0.352, 16.196, 0.15, 5.823, 1
0.353, 16.197, 0.149, 5.791, 1
0.354, 16.199, 0.148, 5.773, 1
0.355, 16.201, 0.147, 5.711, 1
0.356, 16.202, 0.146, 5.756, 1
0.357, 16.204, 0.146, 5.718, 1
0.358, 16.205, 0.145, 5.703, 1
