Time, Vsupply, dca, ia, take
0.0, 16.373, 0.0, -0.009, 1
0.002, 16.373, 0.0, -0.013, 1
0.003, 16.373, 0.001, -0.015, 1
0.004, 16.373, 0.002, -0.006, 1
0.005, 16.373, 0.003, -0.007, 1
0.006, 16.373, 0.004, -0.004, 1
0.007, 16.373, 0.004, -0.009, 1
0.008, 16.372, 0.005, 0.006, 1
0.009, 16.373, 0.006, -0.01, 1
0.01, 16.373, 0.007, -0.005, 1
0.011, 16.373, 0.007, -0.005, 1
0.012, 16.373, 0.008, -0.015, 1
0.013, 16.373, 0.009, -0.002, 1
0.014, 16.373, 0.01, -0.006, 1
0.015, 16.373, 0.011, -0.003, 1
0.016, 16.373, 0.012, 0.003, 1
0.017, 16.373, 0.012, 0.002, 1
0.018, 16.373, 0.013, -0.006, 1
0.019, 16.373, 0.014, -0.007, 1
0.02, 16.373, 0.015, -0.014, 1
0.021, 16.372, 0.016, 0.011, 1
0.022, 16.372, 0.016, -0.014, 1
0.023, 16.372, 0.017, -0.012, 1
0.024, 16.372, 0.018, -0.006, 1
0.025, 16.371, 0.019, -0.021, 1
0.026, 16.371, 0.02, 0.008, 1
0.027, 16.37, 0.02, 0.03, 1
0.028, 16.37, 0.021, 0.044, 1
0.029, 16.37, 0.022, 0.095, 1
0.03, 16.37, 0.023, 0.069, 1
0.031, 16.37, 0.024, 0.116, 1
0.032, 16.37, 0.024, 0.096, 1
0.033, 16.37, 0.025, 0.176, 1
0.034, 16.369, 0.026, 0.123, 1
0.035, 16.369, 0.027, 0.144, 1
0.036, 16.369, 0.028, 0.268, 1
0.037, 16.369, 0.028, 0.195, 1
0.038, 16.369, 0.029, 0.293, 1
0.039, 16.369, 0.03, 0.278, 1
0.04, 16.368, 0.031, 0.296, 1
0.041, 16.368, 0.032, 0.307, 1
0.042, 16.368, 0.032, 0.354, 1
0.043, 16.368, 0.033, 0.411, 1
0.044, 16.368, 0.034, 0.514, 1
0.045, 16.367, 0.035, 0.472, 1
0.046, 16.367, 0.036, 0.614, 1
0.047, 16.367, 0.036, 0.46, 1
0.048, 16.367, 0.037, 0.554, 1
0.049, 16.367, 0.038, 0.55, 1
0.05, 16.366, 0.039, 0.673, 1
0.051, 16.366, 0.04, 0.683, 1
0.052, 16.365, 0.04, 0.702, 1
0.053, 16.365, 0.041, 0.728, 1
0.054, 16.364, 0.042, 0.735, 1
0.055, 16.364, 0.043, 0.794, 1
0.056, 16.364, 0.044, 0.909, 1
0.057, 16.363, 0.044, 0.927, 1
0.058, 16.362, 0.045, 0.996, 1
0.059, 16.362, 0.046, 0.956, 1
0.06, 16.362, 0.047, 1.137, 1
0.061, 16.362, 0.048, 1.206, 1
0.062, 16.361, 0.048, 1.162, 1
0.063, 16.361, 0.049, 1.184, 1
0.064, 16.36, 0.05, 1.268, 1
0.065, 16.36, 0.051, 1.393, 1
0.066, 16.359, 0.052, 1.392, 1
0.067, 16.359, 0.052, 1.399, 1
0.068, 16.359, 0.053, 1.374, 1
0.069, 16.358, 0.054, 1.509, 1
0.07, 16.357, 0.055, 1.597, 1
0.071, 16.356, 0.056, 1.663, 1
0.072, 16.356, 0.056, 1.662, 1
0.073, 16.356, 0.057, 1.711, 1
0.074, 16.355, 0.058, 1.795, 1
0.075, 16.355, 0.059, 1.873, 1
0.076, 16.354, 0.06, 1.975, 1
0.077, 16.354, 0.06, 1.859, 1
0.078, 16.354, 0.061, 1.987, 1
0.079, 16.353, 0.062, 2.003, 1
0.08, 16.353, 0.063, 2.155, 1
0.081, 16.352, 0.064, 2.129, 1
0.082, 16.352, 0.064, 2.254, 1
0.083, 16.351, 0.065, 2.231, 1
0.084, 16.35, 0.066, 2.273, 1
0.085, 16.349, 0.067, 2.339, 1
0.086, 16.349, 0.068, 2.45, 1
0.087, 16.349, 0.068, 2.45, 1
0.088, 16.348, 0.068, 2.466, 1
0.089, 16.347, 0.07, 2.595, 1
0.09, 16.346, 0.071, 2.65, 1
0.091, 16.345, 0.072, 2.736, 1
0.092, 16.345, 0.072, 2.694, 1
0.093, 16.345, 0.073, 2.772, 1
0.094, 16.343, 0.074, 2.889, 1
0.095, 16.342, 0.075, 2.922, 1
0.096, 16.341, 0.076, 2.937, 1
0.097, 16.341, 0.076, 2.983, 1
0.098, 16.341, 0.077, 3.075, 1
0.099, 16.34, 0.078, 3.101, 1
0.1, 16.339, 0.079, 3.178, 1
0.101, 16.338, 0.08, 3.252, 1
0.102, 16.338, 0.08, 3.242, 1
0.103, 16.337, 0.081, 3.304, 1
0.104, 16.336, 0.082, 3.359, 1
0.105, 16.335, 0.083, 3.375, 1
0.106, 16.334, 0.084, 3.452, 1
0.107, 16.334, 0.084, 3.413, 1
0.108, 16.333, 0.085, 3.487, 1
0.109, 16.332, 0.086, 3.557, 1
0.11, 16.331, 0.087, 3.612, 1
0.111, 16.331, 0.088, 3.673, 1
0.112, 16.33, 0.088, 3.63, 1
