Time, Vsupply, dca, ia, take
0.0, 13.06, 0.0, 0.004, 1
0.002, 13.061, 0.0, -0.006, 1
0.003, 13.061, 0.001, -0.001, 1
0.004, 13.061, 0.002, 0.0, 1
0.005, 13.061, 0.003, 0.004, 1
0.006, 13.061, 0.004, -0.011, 1
0.007, 13.061, 0.004, -0.015, 1
0.008, 13.061, 0.005, -0.016, 1
0.009, 13.061, 0.006, -0.006, 1
0.01, 13.062, 0.007, -0.003, 1
0.011, 13.062, 0.008, -0.02, 1
0.012, 13.062, 0.008, -0.01, 1
0.013, 13.062, 0.009, -0.003, 1
0.014, 13.062, 0.01, -0.001, 1
0.015, 13.063, 0.011, 0.004, 1
0.016, 13.063, 0.012, -0.012, 1
0.017, 13.063, 0.012, -0.01, 1
0.018, 13.062, 0.013, -0.013, 1
0.019, 13.062, 0.014, -0.008, 1
0.02, 13.063, 0.015, -0.002, 1
0.021, 13.063, 0.016, 0.339, 1
0.022, 13.063, 0.016, -0.0, 1
0.023, 13.063, 0.017, 0.368, 1
0.024, 13.062, 0.018, 0.361, 1
0.025, 13.062, 0.019, 1.14, 1
0.026, 13.062, 0.02, 1.257, 1
0.027, 13.062, 0.02, 1.192, 1
0.028, 13.062, 0.021, 1.278, 1
0.029, 13.062, 0.022, 1.453, 1
0.03, 13.063, 0.023, 1.831, 1
0.031, 13.063, 0.024, 1.979, 1
0.032, 13.063, 0.024, 1.877, 1
0.033, 13.063, 0.025, 1.862, 1
0.034, 13.063, 0.026, 2.007, 1
0.035, 13.063, 0.027, 1.906, 1
0.036, 13.062, 0.028, 2.107, 1
0.037, 13.063, 0.028, 2.172, 1
0.038, 13.063, 0.029, 1.947, 1
0.039, 13.063, 0.03, 1.7, 1
0.04, 13.063, 0.031, 1.714, 1
0.041, 13.063, 0.032, 1.827, 1
0.042, 13.063, 0.032, 1.784, 1
0.043, 13.063, 0.033, 1.494, 1
0.044, 13.063, 0.034, 1.465, 1
0.045, 13.064, 0.035, 1.506, 1
0.046, 13.064, 0.036, 1.498, 1
0.047, 13.064, 0.036, 1.356, 1
0.048, 13.064, 0.037, 1.271, 1
0.049, 13.064, 0.038, 1.255, 1
0.05, 13.063, 0.039, 1.172, 1
0.051, 13.063, 0.04, 1.193, 1
0.052, 13.063, 0.04, 1.248, 1
0.053, 13.062, 0.041, 1.219, 1
0.054, 13.062, 0.042, 1.255, 1
0.055, 13.062, 0.043, 1.313, 1
0.056, 13.062, 0.044, 1.365, 1
0.057, 13.061, 0.044, 1.345, 1
0.058, 13.061, 0.045, 1.426, 1
0.059, 13.061, 0.046, 1.465, 1
0.06, 13.06, 0.047, 1.504, 1
0.061, 13.06, 0.048, 1.509, 1
0.062, 13.06, 0.048, 1.499, 1
0.063, 13.059, 0.049, 1.598, 1
0.064, 13.058, 0.05, 1.622, 1
0.065, 13.058, 0.051, 1.671, 1
0.066, 13.058, 0.051, 1.671, 1
0.067, 13.056, 0.052, 1.694, 1
0.068, 13.056, 0.053, 1.741, 1
0.069, 13.055, 0.054, 1.808, 1
0.07, 13.055, 0.055, 1.835, 1
0.071, 13.054, 0.056, 1.857, 1
0.072, 13.053, 0.056, 1.876, 1
0.073, 13.053, 0.057, 1.911, 1
0.074, 13.052, 0.058, 1.966, 1
0.075, 13.052, 0.059, 2.001, 1
0.076, 13.051, 0.06, 2.035, 1
0.077, 13.051, 0.06, 2.028, 1
0.078, 13.051, 0.061, 2.062, 1
0.079, 13.05, 0.062, 2.101, 1
0.08, 13.048, 0.063, 2.168, 1
0.081, 13.047, 0.064, 2.179, 1
0.082, 13.047, 0.064, 2.195, 1
0.083, 13.046, 0.065, 2.248, 1
0.084, 13.046, 0.065, 2.248, 1
0.085, 13.044, 0.067, 2.302, 1
0.086, 13.044, 0.068, 2.331, 1
0.087, 13.043, 0.068, 2.352, 1
0.088, 13.042, 0.069, 2.375, 1
0.089, 13.042, 0.07, 2.429, 1
0.09, 13.04, 0.071, 2.446, 1
0.091, 13.04, 0.072, 2.481, 1
0.092, 13.039, 0.072, 2.485, 1
0.093, 13.039, 0.073, 2.5, 1
0.094, 13.037, 0.074, 2.561, 1
0.095, 13.037, 0.075, 2.594, 1
0.096, 13.035, 0.076, 2.618, 1
0.097, 13.035, 0.076, 2.612, 1
0.098, 13.034, 0.077, 2.627, 1
0.099, 13.033, 0.078, 2.688, 1
0.1, 13.032, 0.079, 2.715, 1
