Time, Vsupply, dca, ia, take
0.0, 12.953, 0.0, 0.002, 1
0.002, 12.954, 0.0, 0.001, 1
0.003, 12.954, 0.001, -0.006, 1
0.004, 12.954, 0.002, 0.011, 1
0.005, 12.953, 0.003, 0.011, 1
0.006, 12.953, 0.004, -0.0, 1
0.007, 12.953, 0.004, -0.0, 1
0.008, 12.953, 0.004, 0.001, 1
0.009, 12.953, 0.006, 0.007, 1
0.01, 12.953, 0.007, 0.004, 1
0.011, 12.953, 0.008, 0.006, 1
0.012, 12.953, 0.008, 0.0, 1
0.013, 12.953, 0.009, -0.001, 1
0.014, 12.953, 0.01, 0.004, 1
0.015, 12.953, 0.011, 0.007, 1
0.016, 12.953, 0.012, 0.001, 1
0.017, 12.953, 0.012, 0.011, 1
0.018, 12.953, 0.013, 0.003, 1
0.019, 12.953, 0.014, -0.003, 1
0.02, 12.953, 0.015, -0.003, 1
0.021, 12.953, 0.016, 0.339, 1
0.022, 12.953, 0.016, 0.387, 1
0.023, 12.953, 0.017, 0.814, 1
0.024, 12.953, 0.018, 0.875, 1
0.025, 12.953, 0.019, 0.849, 1
0.026, 12.953, 0.02, 0.949, 1
0.027, 12.953, 0.02, 1.208, 1
0.028, 12.952, 0.021, 1.647, 1
0.029, 12.952, 0.022, 1.632, 1
0.03, 12.952, 0.023, 1.633, 1
0.031, 12.952, 0.024, 1.649, 1
0.032, 12.951, 0.024, 1.841, 1
0.033, 12.951, 0.025, 1.788, 1
0.034, 12.951, 0.026, 1.925, 1
0.035, 12.95, 0.027, 2.158, 1
0.036, 12.95, 0.028, 2.029, 1
0.037, 12.95, 0.028, 1.847, 1
0.038, 12.95, 0.029, 1.878, 1
0.039, 12.95, 0.03, 1.97, 1
0.04, 12.95, 0.031, 1.652, 1
0.041, 12.95, 0.032, 1.669, 1
0.042, 12.95, 0.032, 1.801, 1
0.043, 12.95, 0.033, 1.823, 1
0.044, 12.949, 0.034, 1.376, 1
0.045, 12.949, 0.035, 1.528, 1
0.046, 12.949, 0.036, 1.456, 1
0.047, 12.948, 0.036, 1.45, 1
0.048, 12.948, 0.037, 1.492, 1
0.049, 12.948, 0.038, 1.374, 1
0.05, 12.948, 0.039, 1.218, 1
0.051, 12.948, 0.04, 1.327, 1
0.052, 12.948, 0.04, 1.304, 1
0.053, 12.947, 0.041, 1.208, 1
0.054, 12.947, 0.042, 1.256, 1
0.055, 12.947, 0.043, 1.313, 1
0.056, 12.947, 0.044, 1.358, 1
0.057, 12.947, 0.044, 1.338, 1
0.058, 12.947, 0.045, 1.418, 1
0.059, 12.946, 0.046, 1.438, 1
0.06, 12.946, 0.047, 1.496, 1
0.061, 12.945, 0.048, 1.528, 1
0.062, 12.945, 0.048, 1.521, 1
0.063, 12.945, 0.049, 1.604, 1
0.064, 12.945, 0.05, 1.602, 1
0.065, 12.945, 0.05, 1.602, 1
0.066, 12.944, 0.051, 1.663, 1
0.067, 12.944, 0.052, 1.69, 1
0.068, 12.943, 0.053, 1.731, 1
0.069, 12.943, 0.054, 1.824, 1
0.07, 12.942, 0.055, 1.814, 1
0.071, 12.941, 0.056, 1.887, 1
